Country,League,Season,Date,Time,Home,Away,HG,AG 
Brazil,Serie B,2018,13/04/18,23:15,Fortaleza,Guarani,2,1 
Brazil,Serie B,2018,13/04/18,00:30,Oeste,CRB,2,0
Brazil,Serie B,2018,13/04/18,00:30,Atlético-GO,Criciúma,3,2 
Brazil,Serie B,2018,13/04/18,01:30,Figueirense,Juventude,2,1 
Brazil,Serie B,2018,14/04/18,20:30,Brasil de Pelotas,São Bento,1,1 
Brazil,Serie B,2018,14/04/18,20:30,Vila Nova,Avaí,1,0 
Brazil,Serie B,2018,14/04/18,20:30,CSA,Goiás,2,1 
Brazil,Serie B,2018,14/04/18,20:30,Londrina,Boa Esporte,1,0 
Brazil,Serie B,2018,14/04/18,23:00,Sampaio Corrêa,Coritiba,2,0 
Brazil,Serie B,2018,15/04/18,01:00,Ponte Preta,Paysandu,0,1 
Brazil,Serie B,2018,17/04/18,23:15,Boa Esporte,Fortaleza,0,2 
Brazil,Serie B,2018,18/04/18,01:30,Coritiba,Atlético-GO,1,0 
Brazil,Serie B,2018,20/04/18,23:15,Juventude,Oeste,1,1 
Brazil,Serie B,2018,21/04/18,00:30,São Bento,CSA,2,1 
Brazil,Serie B,2018,21/04/18,01:30,Paysandu,Londrina,1,0 
Brazil,Serie B,2018,21/04/18,20:30,Guarani,Sampaio Corrêa,2,0 
Brazil,Serie B,2018,21/04/18,20:30,Avaí,Brasil de Pelotas,2,2 
Brazil,Serie B,2018,21/04/18,20:30,Goiás,Figueirense,0,2 
Brazil,Serie B,2018,21/04/18,20:30,CRB,Vila Nova,0,1
Brazil,Serie B,2018,21/04/18,23:00,Criciúma,Ponte Preta,0,1 
Brazil,Serie B,2018,24/04/18,23:15,Atlético-GO,Guarani,3,2 
Brazil,Serie B,2018,25/04/18,01:30,Fortaleza,CRB,3,1 
Brazil,Serie B,2018,27/04/18,23:15,Figueirense,Boa Esporte,2,0 
Brazil,Serie B,2018,28/04/18,00:30,CSA,Oeste,5,1 
Brazil,Serie B,2018,28/04/18,01:30,Coritiba,Criciúma,2,1 
Brazil,Serie B,2018,28/04/18,20:30,Juventude,Avaí,1,3 
Brazil,Serie B,2018,28/04/18,20:30,Vila Nova,Sampaio Corrêa,3,1 
Brazil,Serie B,2018,28/04/18,20:30,Paysandu,Brasil de Pelotas,2,1 
Brazil,Serie B,2018,28/04/18,23:00,Ponte Preta,Londrina,0,1 
Brazil,Serie B,2018,29/04/18,01:00,São Bento,Goiás,1,1 
Brazil,Serie B,2018,01/05/18,20:00,Criciúma,CSA,1,3 
Brazil,Serie B,2018,01/05/18,20:00,Boa Esporte,Juventude,1,2 
Brazil,Serie B,2018,01/05/18,20:30,Brasil de Pelotas,Figueirense,1,0 
Brazil,Serie B,2018,01/05/18,20:30,Londrina,Fortaleza,1,1 
Brazil,Serie B,2018,04/05/18,23:15,Sampaio Corrêa,Paysandu,1,1 
Brazil,Serie B,2018,05/05/18,00:30,CRB,Atlético-GO,3,1 
Brazil,Serie B,2018,05/05/18,01:30,Oeste,Coritiba,1,1 
Brazil,Serie B,2018,05/05/18,20:30,Avaí,São Bento,1,1 
Brazil,Serie B,2018,05/05/18,20:30,Goiás,Vila Nova,1,3 
Brazil,Serie B,2018,05/05/18,23:00,Guarani,Ponte Preta,2,3 
Brazil,Serie B,2018,08/05/18,00:30,Sampaio Corrêa,CRB,2,3 
Brazil,Serie B,2018,08/05/18,23:15,Guarani,Criciúma,1,0 
Brazil,Serie B,2018,09/05/18,01:30,Coritiba,Brasil de Pelotas,1,0 
Brazil,Serie B,2018,11/05/18,23:15,Juventude,Paysandu,1,1 
Brazil,Serie B,2018,12/05/18,01:30,Atlético-GO,Londrina,0,0 
Brazil,Serie B,2018,12/05/18,20:30,São Bento,Oeste,1,0 
Brazil,Serie B,2018,12/05/18,20:30,Figueirense,Avaí,0,1 
Brazil,Serie B,2018,12/05/18,20:30,CSA,Boa Esporte,1,0 
Brazil,Serie B,2018,12/05/18,23:00,Fortaleza,Goiás,3,0 
Brazil,Serie B,2018,13/05/18,20:00,Vila Nova,Ponte Preta,0,0 
Brazil,Serie B,2018,15/05/18,23:15,CRB,Avaí,0,4 
Brazil,Serie B,2018,16/05/18,01:30,Criciúma,Juventude,0,0 
Brazil,Serie B,2018,18/05/18,23:15,Goiás,Guarani,1,1 
Brazil,Serie B,2018,19/05/18,01:30,Figueirense,Fortaleza,1,3 
Brazil,Serie B,2018,19/05/18,20:30,Ponte Preta,Atlético-GO,1,3 
Brazil,Serie B,2018,19/05/18,20:30,Oeste,Vila Nova,2,0 
Brazil,Serie B,2018,19/05/18,20:30,Londrina,CSA,1,2 
Brazil,Serie B,2018,19/05/18,20:30,Paysandu,São Bento,1,1 
Brazil,Serie B,2018,19/05/18,23:00,Boa Esporte,Coritiba,1,1 
Brazil,Serie B,2018,20/05/18,01:00,Brasil de Pelotas,Sampaio Corrêa,1,2 
Brazil,Serie B,2018,22/05/18,23:15,CSA,Figueirense,1,4 
Brazil,Serie B,2018,23/05/18,01:30,Fortaleza,Criciúma,2,0 
Brazil,Serie B,2018,25/05/18,23:15,Avaí,Paysandu,2,1 
Brazil,Serie B,2018,25/05/18,23:15,Atlético-GO,Oeste,2,2 
Brazil,Serie B,2018,26/05/18,01:30,Coritiba,Vila Nova,2,0 
Brazil,Serie B,2018,26/05/18,20:30,São Bento,Juventude,2,2
Brazil,Serie B,2018,26/05/18,20:30,Brasil de Pelotas,Londrina,3,0 
Brazil,Serie B,2018,26/05/18,20:30,Goiás,Boa Esporte,1,2
Brazil,Serie B,2018,27/05/18,01:00,Guarani,CRB,2,0
Brazil,Serie B,2018,29/05/18,00:00,Sampaio Corrêa,Ponte Preta,1,0
Brazil,Serie B,2018,29/05/18,23:15,São Bento,Figueirense,1,1 
Brazil,Serie B,2018,30/05/18,01:30,Londrina,Coritiba,3,2 
Brazil,Serie B,2018,01/06/18,23:15,Juventude,Guarani,1,0
Brazil,Serie B,2018,02/06/18,00:30,Vila Nova,CSA,0,1 
Brazil,Serie B,2018,02/06/18,01:30,Avaí,Criciúma,0,1 
Brazil,Serie B,2018,02/06/18,01:30,Paysandu,Boa Esporte,2,0 
Brazil,Serie B,2018,02/06/18,20:30,Fortaleza,Sampaio Corrêa,1,0 
Brazil,Serie B,2018,02/06/18,20:30,Atlético-GO,Goiás,1,3
Brazil,Serie B,2018,02/06/18,20:30,CRB,Brasil de Pelotas,1,1 
Brazil,Serie B,2018,02/06/18,23:00,Ponte Preta,Oeste,1,1
Brazil,Serie B,2018,05/06/18,23:15,Juventude,Atlético-GO,2,2 
Brazil,Serie B,2018,05/06/18,23:15,Figueirense,Londrina,1,1 
Brazil,Serie B,2018,05/06/18,23:15,Criciúma,Paysandu,4,1 
Brazil,Serie B,2018,05/06/18,23:15,Coritiba,CRB,1,0 
Brazil,Serie B,2018,06/06/18,00:30,Boa Esporte,São Bento,2,2
Brazil,Serie B,2018,06/06/18,00:30,CSA,Guarani,1,2
Brazil,Serie B,2018,06/06/18,00:30,Sampaio Corrêa,Avaí,1,1 
Brazil,Serie B,2018,06/06/18,01:30,Ponte Preta,Goiás,2,1
